2, 5, 8, 18, 23, 31, 35, 43
4, 8, 15, 39, 40, 42, 48, 5
2, 10, 18, 19, 25, 42, 48, 21
5, 16, 19, 21, 23, 31, 36, 46
7, 11, 13, 30, 38, 40, 43, 45
14, 17, 20, 24, 25, 38, 48, 11
12, 26, 28, 32, 41, 43, 50, 49
2, 11, 19, 33, 44, 45, 47, 42
2, 8, 10, 14, 21, 36, 40, 17
1, 5, 17, 18, 38, 41, 48, 13
7, 13, 18, 30, 33, 37, 41, 6
2, 10, 11, 17, 19, 32, 42, 41
2, 8, 16, 17, 19, 26, 42, 41
4, 6, 7, 10, 17, 27, 44, 40
5, 6, 7, 17, 26, 29, 42, 38
1, 13, 14, 17, 25, 28, 41, 43
14, 17, 25, 27, 31, 32, 34, 20
9, 26, 30, 35, 37, 42, 50, 47
4, 7, 8, 22, 24, 30, 49, 42
7, 18, 22, 35, 37, 43, 45, 44
9, 16, 19, 24, 27, 34, 40, 7
17, 21, 27, 32, 45, 46, 49, 19
3, 21, 22, 26, 28, 44, 49, 34
9, 14, 16, 33, 39, 46, 49, 38
13, 23, 26, 27, 28, 38, 47, 36
3, 11, 24, 25, 29, 32, 42, 16
11, 12, 21, 27, 32, 43, 49, 15
7, 25, 30, 35, 38, 40, 49, 27
7, 8, 13, 20, 25, 26, 48, 36
4, 5, 31, 39, 42, 45, 50, 11
1, 3, 24, 25, 27, 36, 47, 12
2, 4, 7, 10, 14, 21, 34, 26
2, 15, 25, 28, 30, 35, 38, 31
10, 14, 21, 26, 28, 36, 50, 41
11, 13, 18, 20, 23, 30, 40, 37
3, 7, 8, 10, 34, 43, 47, 16
9, 14, 24, 26, 29, 39, 49, 42
5, 15, 19, 22, 37, 46, 47, 1
16, 29, 32, 34, 38, 39, 47, 18
1, 10, 12, 30, 33, 34, 36, 4
19, 26, 28, 36, 40, 42, 48, 6
2, 3, 8, 11, 12, 37, 49, 36
3, 13, 26, 27, 28, 36, 45, 50
2, 4, 17, 28, 35, 44, 46, 5
5, 6, 28, 36, 40, 46, 50, 27
2, 4, 14, 18, 24, 46, 47, 23
10, 12, 13, 18, 25, 26, 37, 39
5, 7, 12, 22, 28, 43, 47, 1
3, 7, 12, 17, 23, 38, 40, 27
18, 21, 28, 29, 31, 32, 49, 38
1, 16, 21, 24, 35, 37, 39, 45
4, 21, 24, 25, 26, 27, 42, 8
4, 12, 13, 15, 18, 30, 50, 34
5, 23, 31, 35, 36, 37, 43, 13
23, 31, 34, 38, 40, 45, 50, 41
11, 21, 23, 25, 28, 41, 43, 10
26, 37, 42, 44, 46, 49, 50, 24
9, 11, 20, 22, 33, 36, 46, 49
17, 24, 27, 34, 38, 42, 48, 19
1, 2, 23, 32, 35, 36, 45, 28
4, 12, 16, 17, 33, 36, 44, 2
2, 5, 10, 11, 14, 23, 33, 47
1, 6, 12, 21, 34, 37, 47, 20
1, 5, 10, 18, 20, 40, 42, 47
3, 13, 14, 20, 30, 45, 49, 35
11, 17, 19, 22, 27, 31, 40, 38
9, 29, 30, 36, 42, 46, 49, 47
6, 9, 23, 25, 31, 36, 48, 30
3, 7, 16, 22, 29, 31, 42, 15
5, 12, 15, 23, 28, 38, 39, 46
8, 15, 25, 27, 33, 39, 44, 20
2, 7, 8, 26, 30, 43, 48, 25
5, 6, 12, 28, 29, 36, 46, 40
2, 4, 16, 24, 25, 27, 49, 29
12, 22, 25, 30, 37, 38, 45, 2
30, 32, 33, 34, 37, 45, 49, 25
2, 14, 24, 25, 35, 44, 45, 11
1, 19, 28, 29, 31, 33, 43, 17
15, 16, 18, 19, 22, 44, 47, 28
1, 13, 19, 27, 42, 49, 50, 32
7, 10, 11, 19, 22, 30, 37, 18
1, 3, 4, 11, 19, 24, 42, 27
7, 11, 14, 26, 27, 29, 36, 2
2, 14, 27, 30, 31, 35, 43, 38
1, 23, 27, 33, 39, 45, 49, 40
1, 8, 17, 21, 35, 39, 46, 31
14, 15, 20, 32, 35, 38, 50, 46
3, 18, 19, 24, 26, 27, 45, 20
5, 9, 18, 27, 32, 38, 40, 34
5, 6, 25, 31, 32, 44, 48, 39
6, 9, 11, 19, 24, 38, 46, 18
